word,n,tf,idf,tf_idf
bay,5.213422158393195,"[0.         0.         0.         0.         0.         0.
 0.42502918 0.42502918 0.42502918 0.4737929  0.         0.36043994
 0.36043994 0.36043994 0.36043994 0.28987533 0.28987533 0.
 0.28670265 0.28670265 0.28987533 0.28987533 0.28987533 0.
 0.         0.         0.         0.         0.        ]",1.628608659422374,"[0.         0.         0.         0.         0.         0.
 0.6922062  0.6922062  0.6922062  0.77162321 0.         0.58701561
 0.58701561 0.58701561 0.58701561 0.47209347 0.47209347 0.
 0.46692643 0.46692643 0.47209347 0.47209347 0.47209347 0.
 0.         0.         0.         0.         0.        ]"
catastrophe,4.9274513407835325,"[0.         0.         0.         0.         0.         0.
 0.44187224 0.44187224 0.44187224 0.         0.         0.37472346
 0.37472346 0.37472346 0.37472346 0.30136251 0.30136251 0.
 0.29806411 0.29806411 0.30136251 0.30136251 0.30136251 0.
 0.         0.         0.         0.         0.        ]",1.6931471805599454,"[0.         0.         0.         0.         0.         0.
 0.74815474 0.74815474 0.74815474 0.         0.         0.63446197
 0.63446197 0.63446197 0.63446197 0.51025108 0.51025108 0.
 0.50466641 0.50466641 0.51025108 0.51025108 0.51025108 0.
 0.         0.         0.         0.         0.        ]"
glazer,5.105374015276148,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.37472346
 0.37472346 0.37472346 0.37472346 0.30136251 0.30136251 0.52721996
 0.29806411 0.29806411 0.30136251 0.30136251 0.30136251 0.48815972
 0.48815972 0.         0.         0.         0.        ]",1.6931471805599454,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.63446197
 0.63446197 0.63446197 0.63446197 0.51025108 0.51025108 0.89266099
 0.50466641 0.50466641 0.51025108 0.51025108 0.51025108 0.82652625
 0.82652625 0.         0.         0.         0.        ]"
glazersout,6.74959743593636,"[0.         0.         0.         0.         0.50757768 0.
 0.36679388 0.36679388 0.36679388 0.40887624 0.         0.31105432
 0.31105432 0.31105432 0.31105432 0.25015811 0.25015811 0.4376402
 0.49484027 0.49484027 0.25015811 0.25015811 0.25015811 0.40521666
 0.40521666 0.         0.         0.         0.        ]",1.4054651081081644,"[0.         0.         0.         0.         0.71338272 0.
 0.51551599 0.51551599 0.51551599 0.57466129 0.         0.437176
 0.437176   0.437176   0.437176   0.35158849 0.35158849 0.61508802
 0.69548074 0.69548074 0.35158849 0.35158849 0.35158849 0.56951788
 0.56951788 0.         0.         0.         0.        ]"
greed,4.808057777600096,"[0.         0.40207439 0.40207439 0.40207439 0.         0.
 0.         0.         0.         0.         0.         0.37472346
 0.37472346 0.37472346 0.37472346 0.30136251 0.30136251 0.
 0.29806411 0.29806411 0.30136251 0.30136251 0.30136251 0.
 0.         0.         0.         0.         0.        ]",1.6931471805599454,"[0.         0.68077111 0.68077111 0.68077111 0.         0.
 0.         0.         0.         0.         0.         0.63446197
 0.63446197 0.63446197 0.63446197 0.51025108 0.51025108 0.
 0.50466641 0.50466641 0.51025108 0.51025108 0.51025108 0.
 0.         0.         0.         0.         0.        ]"
gulf,6.74959743593636,"[0.         0.         0.         0.         0.50757768 0.
 0.36679388 0.36679388 0.36679388 0.40887624 0.         0.31105432
 0.31105432 0.31105432 0.31105432 0.25015811 0.25015811 0.4376402
 0.49484027 0.49484027 0.25015811 0.25015811 0.25015811 0.40521666
 0.40521666 0.         0.         0.         0.        ]",1.4054651081081644,"[0.         0.         0.         0.         0.71338272 0.
 0.51551599 0.51551599 0.51551599 0.57466129 0.         0.437176
 0.437176   0.437176   0.437176   0.35158849 0.35158849 0.61508802
 0.69548074 0.69548074 0.35158849 0.35158849 0.35158849 0.56951788
 0.56951788 0.         0.         0.         0.        ]"
oil,10.568469577381748,"[0.70710678 0.47494322 0.47494322 0.47494322 0.3611457  0.53482206
 0.26097686 0.26097686 0.26097686 0.29091881 0.53482206 0.22131771
 0.22131771 0.22131771 0.22131771 0.35597911 0.35597911 0.3113846
 0.17604146 0.17604146 0.35597911 0.35597911 0.35597911 0.28831499
 0.28831499 0.70710678 0.53482206 0.39235059 0.39235059]",1.0,"[0.70710678 0.47494322 0.47494322 0.47494322 0.3611457  0.53482206
 0.26097686 0.26097686 0.26097686 0.29091881 0.53482206 0.22131771
 0.22131771 0.22131771 0.22131771 0.35597911 0.35597911 0.3113846
 0.17604146 0.17604146 0.35597911 0.35597911 0.35597911 0.28831499
 0.28831499 0.70710678 0.53482206 0.39235059 0.39235059]"
spill,8.455352174924752,"[0.         0.6222492  0.6222492  0.6222492  0.47315682 0.
 0.34192012 0.34192012 0.34192012 0.38114871 0.         0.28996049
 0.28996049 0.28996049 0.28996049 0.46638778 0.46638778 0.
 0.23064159 0.23064159 0.46638778 0.46638778 0.46638778 0.37773731
 0.37773731 0.         0.         0.         0.        ]",1.3101549283038394,"[0.         0.81524285 0.81524285 0.81524285 0.61990873 0.
 0.44796834 0.44796834 0.44796834 0.49936387 0.         0.37989317
 0.37989317 0.37989317 0.37989317 0.61104025 0.61104025 0.
 0.30217622 0.30217622 0.61104025 0.61104025 0.61104025 0.4948944
 0.4948944  0.         0.         0.         0.        ]"
surprise,11.353170762324797,"[0.70710678 0.47494322 0.47494322 0.47494322 0.3611457  0.53482206
 0.26097686 0.26097686 0.26097686 0.29091881 0.53482206 0.22131771
 0.22131771 0.22131771 0.22131771 0.35597911 0.35597911 0.3113846
 0.17604146 0.17604146 0.35597911 0.35597911 0.35597911 0.28831499
 0.28831499 0.70710678 0.53482206 0.78470118 0.78470118]",1.0,"[0.70710678 0.47494322 0.47494322 0.47494322 0.3611457  0.53482206
 0.26097686 0.26097686 0.26097686 0.29091881 0.53482206 0.22131771
 0.22131771 0.22131771 0.22131771 0.35597911 0.35597911 0.3113846
 0.17604146 0.17604146 0.35597911 0.35597911 0.35597911 0.28831499
 0.28831499 0.70710678 0.53482206 0.78470118 0.78470118]"
tampa,7.923931102617571,"[0.         0.         0.         0.         0.         0.65416415
 0.31921217 0.31921217 0.31921217 0.35583547 0.65416415 0.27070333
 0.27070333 0.27070333 0.27070333 0.21770677 0.21770677 0.38086807
 0.21532398 0.21532398 0.21770677 0.21770677 0.21770677 0.35265062
 0.35265062 0.         0.65416415 0.4799011  0.4799011 ]",1.2231435513142097,"[0.         0.         0.         0.         0.         0.80013666
 0.3904423  0.3904423  0.3904423  0.43523786 0.80013666 0.33110904
 0.33110904 0.33110904 0.33110904 0.26628664 0.26628664 0.46585632
 0.26337214 0.26337214 0.26628664 0.26628664 0.26628664 0.43134234
 0.43134234 0.         0.80013666 0.58698793 0.58698793]"
